1,6bddaeb9-69af-4035-a1d9-626c9472e8a2,2023-02-22 00:00:00+01,2022-07-27 00:00:00+02,Canada,CA,76414 Kingsford Court,,,,,f,t,3
2,b1a370cd-3749-4920-aa55-afccc245fe6a,2022-07-10 00:00:00+02,2023-04-13 00:00:00+02,China,CN,93187 Homewood Place,,,,,t,t,3
3,5702af50-d0e8-43af-b1cf-9319e0304ed0,2022-09-23 00:00:00+02,2022-09-11 00:00:00+02,Sweden,SE,8 Loomis Terrace,,,,,f,t,5
4,8980f226-ab93-46da-9d10-f70a85052fb4,2022-11-05 00:00:00+01,2023-03-01 00:00:00+01,Indonesia,ID,969 Bay Center,,,,,f,t,17
6,45d8dd19-8bd0-4f3f-9d4b-652d8be0b89a,2022-07-15 00:00:00+02,2022-12-12 00:00:00+01,Bosnia and Herzegovina,BA,4 Sherman Park,,,,,t,t,3
7,2d65b5d1-4509-4c33-8105-32e4cf6b62e8,2023-03-25 00:00:00+01,2023-03-14 00:00:00+01,Cuba,CU,7 Delladonna Street,,,,,t,f,5
8,62732247-2309-4948-b1e7-b2a0c6ad6082,2023-04-13 00:00:00+02,2022-12-09 00:00:00+01,Portugal,PT,7 Schiller Point,,,,,t,f,12
9,1951d463-47c7-40b0-9a8a-e662774c86b8,2023-02-01 00:00:00+01,2022-08-21 00:00:00+02,Kiribati,KI,15832 Bultman Place,,,,,f,t,16
12,6a59d692-c019-41c7-b1e3-02e328db70af,2023-03-08 00:00:00+01,2022-11-10 00:00:00+01,Ethiopia,ET,6565 Welch Crossing,,,,,t,f,20
14,7c17a41f-b121-498f-ba89-b7a346031e92,2022-10-04 00:00:00+02,2022-12-21 00:00:00+01,Bulgaria,BG,2 Shoshone Crossing,,,,,t,f,17
15,b2e22822-6884-47fc-bf10-6f76dd419468,2023-01-12 00:00:00+01,2023-01-30 00:00:00+01,Armenia,AM,63330 Center Alley,,,,,f,t,3
18,0c6be97c-557a-497d-9665-20d86836ede0,2023-02-25 00:00:00+01,2022-10-12 00:00:00+02,Philippines,PH,3835 Namekagon Center,,,,,t,f,19
19,5a3e32c1-0cc8-44d6-a2d0-47f4427fcd80,2023-04-23 00:00:00+02,2022-11-27 00:00:00+01,Azerbaijan,AZ,63031 Shasta Alley,,,,,t,f,6
10,cfffb263-20d1-4775-b5c8-243b3d65f97a,2023-01-10 00:00:00+01,2023-05-18 09:26:59.033541+02,Russia118555,RU1,6 Tony Crossing,1123,7321,1213,456,t,t,17
